81,64,62,0.5,0
81.5,62,61,0.5,0
82,64,62,0.5,0
82.5,62,61,0.5,0
83,64,62,0.5,0
83.5,65,63,0.5,0
84,67,64,0.5,0
84.5,64,62,0.5,0
85,65,63,0.5,0
85.5,67,64,0.5,0
86,69,65,0.5,0
86.5,67,64,0.5,0
87,65,63,0.5,0
87.5,64,62,0.5,0
88,62,61,0.5,0
88.5,60,60,0.5,0
89,59,59,1,0
89.5,60,60,0.5,0
90,62,61,1,0
91,60,60,1,0
92,55,57,0.5,0
92.5,59,59,0.5,0
93,60,60,0.5,0
93.5,62,61,0.5,0
94,64,62,1,0
95,64,62,1,0
96,57,58,0.5,0
96.5,59,59,0.5,0
97,60,60,1,0
98,60,60,0.5,0
98.5,62,61,0.5,0
99,64,62,0.5,0
99.5,65,63,0.5,0
100,67,64,1,0
101,65,63,1,0
102,64,62,1,0
104.5,62,61,0.5,0
105,59,59,1,0
106,62,61,1,0
107,64,62,1,0
108,62,61,1,0
109,60,60,1.5,0
110.5,59,59,0.5,0
111,57,58,1,0
112,55,57,0.5,0
112.5,59,59,0.5,0
113,60,60,1,0
114,62,61,1,0
116.5,52,55,0.5,0
117,47,52,1,0
119,64,62,1,0
120,57,58,0.5,0
120.5,59,59,0.5,0
121,60,60,1,0
122,60,60,0.5,0
122.5,62,61,0.5,0
123,64,62,0.5,0
123.5,65,63,0.5,0
124,64,62,0.5,0
124.5,67,64,0.5,0
125,65,63,0.5,0
125.5,64,62,0.5,0
126,62,61,0.5,0
126.5,60,60,0.5,0
127,62,61,1.5,0
128.5,62,61,0.5,0
129,59,59,1,0
130,62,61,1,0
131,64,62,1,0
132,62,61,1,0
133,60,60,1.5,0
134.5,59,59,0.5,0
135,60,60,1,0
136,62,61,1,0
137,59,59,1,0
137.5,66,63,0.5,0
138,64,62,0.5,0
138.5,62,61,0.5,0
139,64,62,1,0
140,57,58,1,0
140.5,62,61,0.5,0
141,60,60,1,0
142,64,62,1,0
143,64,62,1,0
144,57,58,0.5,0
144.5,59,59,0.5,0
145,60,60,1,0
